Caller,Time
StartRecord,302163538
HandleAgents,3751
HandleAgents,3860
HandleAgents,3602
StartRecord,303485765
HandleAgents,3984
HandleAgents,4472
HandleAgents,4836
HandleAgents,4870
HandleAgents,4009
HandleAgents,4755
StartRecord,15505296
HandleAgents,4583
HandleAgents,3169
HandleAgents,3165
HandleAgents,4120
HandleAgents,3073
HandleAgents,6372
HandleAgents,3243
HandleAgents,3178
HandleAgents,3149
HandleAgents,2928
HandleAgents,3020
HandleAgents,2992
HandleAgents,4055
HandleAgents,3173
HandleAgents,2996
HandleAgents,3228
HandleAgents,3093
HandleAgents,3136
HandleAgents,3915
HandleAgents,3126
HandleAgents,3061
HandleAgents,3119
HandleAgents,4258
HandleAgents,3369
HandleAgents,3272
HandleAgents,3085
HandleAgents,3189
HandleAgents,5042
HandleAgents,3120
HandleAgents,4044
HandleAgents,4016
HandleAgents,3792
HandleAgents,3769
HandleAgents,3785
HandleAgents,3778
HandleAgents,3964
HandleAgents,3777
HandleAgents,4515
HandleAgents,3979
HandleAgents,3867
HandleAgents,3806
HandleAgents,3860
HandleAgents,3727
HandleAgents,3824
HandleAgents,3791
HandleAgents,3843
HandleAgents,4031
HandleAgents,3679
HandleAgents,4268
HandleAgents,3900
HandleAgents,3540
HandleAgents,4049
HandleAgents,3971
HandleAgents,3747
HandleAgents,3831
HandleAgents,3739
HandleAgents,3810
HandleAgents,3873
HandleAgents,3810
HandleAgents,3093
HandleAgents,2987
HandleAgents,2952
HandleAgents,2933
HandleAgents,3114
HandleAgents,3144
HandleAgents,3180
HandleAgents,3111
HandleAgents,3157
HandleAgents,3271
HandleAgents,3062
HandleAgents,3297
HandleAgents,2988
HandleAgents,3106
HandleAgents,3416
HandleAgents,2964
HandleAgents,3687
HandleAgents,3352
HandleAgents,3121
HandleAgents,3476
HandleAgents,3121
HandleAgents,3305
HandleAgents,3117
HandleAgents,3051
HandleAgents,3091
HandleAgents,3319
StartRecord,16351680
HandleAgents,5454
HandleAgents,5206
HandleAgents,5365
HandleAgents,5395
HandleAgents,5392
HandleAgents,5287
HandleAgents,5360
HandleAgents,5234
HandleAgents,5184
HandleAgents,5042
HandleAgents,5766
HandleAgents,5633
HandleAgents,5360
